cycle_start,cycle_end,source_file,cycle_id,cycle_idx,duration_s,V_peak_charge,V_mean_charge,V_tail_mean,time_absorption_s,I_bulk_mean,I_min,soc_start_pct,soc_end_pct,soc_gain_pct,t80_s,Ah_in,Ah_out_prev,R_dyn_ohm,target_soh1,IBS_BatteryVoltage__mean,IBS_BatteryVoltage__median,IBS_BatteryVoltage__std,IBS_BatteryVoltage__min,IBS_BatteryVoltage__max,IBS_BatteryVoltage__p10,IBS_BatteryVoltage__p90,IBS_BatteryVoltage__first,IBS_BatteryVoltage__last,IBS_BatteryCurrent__mean,IBS_BatteryCurrent__median,IBS_BatteryCurrent__std,IBS_BatteryCurrent__min,IBS_BatteryCurrent__max,IBS_BatteryCurrent__p10,IBS_BatteryCurrent__p90,IBS_BatteryCurrent__first,IBS_BatteryCurrent__last,IBS_BatteryTemperature__mean,IBS_BatteryTemperature__median,IBS_BatteryTemperature__std,IBS_BatteryTemperature__min,IBS_BatteryTemperature__max,IBS_BatteryTemperature__p10,IBS_BatteryTemperature__p90,IBS_BatteryTemperature__first,IBS_BatteryTemperature__last,IBS_StateOfCharge__mean,IBS_StateOfCharge__median,IBS_StateOfCharge__std,IBS_StateOfCharge__min,IBS_StateOfCharge__max,IBS_StateOfCharge__p10,IBS_StateOfCharge__p90,IBS_StateOfCharge__first,IBS_StateOfCharge__last,IBS_StateOfHealth__mean,IBS_StateOfHealth__median,IBS_StateOfHealth__std,IBS_StateOfHealth__min,IBS_StateOfHealth__max,IBS_StateOfHealth__p10,IBS_StateOfHealth__p90,IBS_StateOfHealth__first,IBS_StateOfHealth__last,IBS_AvgRi__mean,IBS_AvgRi__median,IBS_AvgRi__std,IBS_AvgRi__min,IBS_AvgRi__max,IBS_AvgRi__p10,IBS_AvgRi__p90,IBS_AvgRi__first,IBS_AvgRi__last,IBS_AvailableCapacity__mean,IBS_AvailableCapacity__median,IBS_AvailableCapacity__std,IBS_AvailableCapacity__min,IBS_AvailableCapacity__max,IBS_AvailableCapacity__p10,IBS_AvailableCapacity__p90,IBS_AvailableCapacity__first,IBS_AvailableCapacity__last,IBS_DischargeableAh__mean,IBS_DischargeableAh__median,IBS_DischargeableAh__std,IBS_DischargeableAh__min,IBS_DischargeableAh__max,IBS_DischargeableAh__p10,IBS_DischargeableAh__p90,IBS_DischargeableAh__first,IBS_DischargeableAh__last,IBS_NominalCapacity__mean,IBS_NominalCapacity__median,IBS_NominalCapacity__std,IBS_NominalCapacity__min,IBS_NominalCapacity__max,IBS_NominalCapacity__p10,IBS_NominalCapacity__p90,IBS_NominalCapacity__first,IBS_NominalCapacity__last,IBS_Sulfation__mean,IBS_Sulfation__median,IBS_Sulfation__std,IBS_Sulfation__min,IBS_Sulfation__max,IBS_Sulfation__p10,IBS_Sulfation__p90,IBS_Sulfation__first,IBS_Sulfation__last,IBS_BatteryDefect__mean,IBS_BatteryDefect__median,IBS_BatteryDefect__std,IBS_BatteryDefect__min,IBS_BatteryDefect__max,IBS_BatteryDefect__p10,IBS_BatteryDefect__p90,IBS_BatteryDefect__first,IBS_BatteryDefect__last
2025-06-26 02:20:47+00:00,2025-06-26 02:40:03+00:00,12V Management  2025-06-25_22-20-47_IBS_only_cleaned.csv,12V Management  2025-06-25_22-20-47_IBS_only_cleaned.csv#0,0,1156.0,14.115,14.106859550561799,14.100594444444445,0.0,2.972537597234226,-15.183,7650.0,7850.0,200.0,0.0,0.9671094444444445,,-0.058966169860421094,0.9338278210116729,14.105866032843561,14.109,0.053651623863198133,12.953,14.117,14.103,14.113,14.1,12.953,2.972537597234226,2.712,1.2835065364377014,-15.183,5.261,2.0906000000000002,4.487200000000001,5.246,-15.183,23.5,23.5,0.0,23.5,23.5,23.5,23.5,23.5,23.5,77.6257562662057,78.0,0.555292609098049,76.5,78.5,77.0,78.5,76.5,78.5,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,6.069999999999999,6.07,8.885624968725417e-16,6.07,6.07,6.07,6.07,6.07,6.07,33.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,32.91512532411409,33.0,0.2716496236281289,32.4,33.3,32.5,33.3,32.4,33.3,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26 11:24:45+00:00,2025-06-26 12:02:32+00:00,12V Management  2025-06-25_22-20-47_IBS_only_cleaned.csv,12V Management  2025-06-25_22-20-47_IBS_only_cleaned.csv#1,1,2267.0,14.114,14.102163580246915,14.0999,0.0,4.276646384479718,-14.893,7150.0,7700.0,550.0,0.0,2.7046480555555554,80.29246194444445,-0.06150870406189555,0.9338278210116729,14.101659611992945,14.106,0.040539237041987225,12.914,14.115,14.091,14.111,14.05,12.914,4.276646384479718,3.5294999999999996,2.3336045222666457,-14.893,14.278,2.2098,7.629899999999999,14.278,-14.893,21.0,21.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,74.76256613756614,75.0,1.459479435551035,71.5,77.0,72.5,76.5,71.5,77.0,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,6.07,6.07,0.0,6.07,6.07,6.07,6.07,6.07,6.07,33.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,31.484126984126984,31.6,0.7282892231206678,29.9,32.5,30.3,32.3,29.9,32.5,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26 13:09:11+00:00,2025-06-26 13:19:50+00:00,12V Management  2025-06-25_22-20-47_IBS_only_cleaned.csv,12V Management  2025-06-25_22-20-47_IBS_only_cleaned.csv#2,2,639.0,14.114,14.104331250000001,14.100833333333334,0.0,2.9151671875000003,-14.835,7550.0,7650.0,100.0,0.0,0.5284127777777777,7.1904402777777765,-0.0615124520449964,0.9338278210116729,14.1028296875,14.11,0.07232508375467868,12.892,14.115,14.097,14.113,14.077,12.892,2.9151671875000003,2.3375000000000004,1.8272489352945627,-14.835,10.084,2.0019,5.169200000000001,10.084,-14.835,20.98359375,21.0,0.08914244877559131,20.5,21.0,21.0,21.0,21.0,21.0,76.0953125,76.0,0.30433986001054203,75.5,76.5,75.5,76.5,75.5,76.5,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,6.07,6.07,0.0,6.07,6.07,6.07,6.07,6.07,6.07,33.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,32.151250000000005,32.2,0.1363450928730022,31.9,32.4,31.9,32.3,31.9,32.4,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26 17:47:23+00:00,2025-06-26 18:22:49+00:00,12V_Management_2025-06-26_13-39-25_IBS_only.csv,12V_Management_2025-06-26_13-39-25_IBS_only.csv#0,0,2126.0,14.113,14.09611706629055,14.1019,0.0,5.272254348848143,-15.184,7050.0,7650.0,600.0,0.0,3.120809583333333,,-0.06416987516042477,0.9467655642023345,14.095766337564644,14.104,0.038885695373612424,12.935,14.114,14.07,14.11,13.981,12.935,5.272254348848143,3.543,4.020049720830318,-15.184,28.777,2.2056,12.188400000000003,28.777,-15.184,21.40126939351199,21.5,0.19908843607761237,21.0,21.5,21.0,21.5,21.0,21.5,74.5345557122708,75.0,1.5989192838799486,70.5,76.5,72.0,76.0,70.5,76.5,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,6.069999999999999,6.07,8.883872800015897e-16,6.07,6.07,6.07,6.07,6.07,6.07,33.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,31.366854724964735,31.6,0.7975896361596733,29.3,32.4,30.1,32.2,29.3,32.4,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26 22:55:27+00:00,2025-06-26 22:55:42+00:00,12V_Management_2025-06-26_13-39-25_IBS_only.csv,12V_Management_2025-06-26_13-39-25_IBS_only.csv#1,1,15.0,14.062,14.044374999999999,14.044374999999999,0.0,13.5830625,12.394,7300.0,7300.0,0.0,0.0,0.05609541666666667,43.730824722222216,0.004779607010090465,0.9467655642023345,14.055874999999999,14.058499999999999,0.007881412732921996,14.033,14.064,14.0475,14.062,14.033,14.064,13.5830625,13.045,1.5554504800324993,12.394,18.377,12.4905,15.193000000000001,18.377,12.394,24.5,24.5,0.0,24.5,24.5,24.5,24.5,24.5,24.5,73.0,73.0,0.0,73.0,73.0,73.0,73.0,73.0,73.0,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,6.07,6.07,0.0,6.07,6.07,6.07,6.07,6.07,6.07,33.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,30.6,30.6,0.0,30.6,30.6,30.6,30.6,30.6,30.6,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-29 10:07:10+00:00,2025-06-29 10:17:51+00:00,12V Management  IBS 1hr Reset 2025-06-29_09-32-11_IBS_only.csv,12V Management  IBS 1hr Reset 2025-06-29_09-32-11_IBS_only.csv#0,0,641.0,14.115,14.102744548286603,14.099405555555556,0.0,3.221523364485981,-14.982,8700.0,8800.0,100.0,0.0,0.5848416666666667,,-0.0671382515884691,1.0,14.100898753894084,14.11,0.07883483018858416,12.834,14.117,14.093,14.113,14.059,12.834,3.221523364485981,2.335,2.442100142884723,-14.982,11.886,1.923,6.250999999999999,11.886,-14.982,25.5,25.5,0.0,25.5,25.5,25.5,25.5,25.5,25.5,87.69314641744548,88.0,0.35886335606422515,87.0,88.0,87.0,88.0,87.0,88.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,43.93255451713396,44.0,0.14752038168973508,43.6,44.1,43.7,44.1,43.6,44.1,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-29 12:10:35+00:00,2025-06-29 12:11:25+00:00,12V Management  Discharge and Charge Cycle 2025-06-29_08-10-35_IBS_only.csv,12V Management  Discharge and Charge Cycle 2025-06-29_08-10-35_IBS_only.csv#0,0,50.0,14.049,13.989392156862749,13.989392156862749,0.0,8.410176470588235,-17.232,7300.0,7300.0,0.0,0.0,0.13655166666666668,,-0.0335903900341094,0.8290539813641832,13.96764705882353,14.044,0.26082989272929674,12.932,14.05,14.037,14.049,14.042,12.932,8.410176470588235,10.668,7.634445498412788,-17.232,11.668,9.868,11.493,11.668,-17.232,22.5,22.5,0.0,22.5,22.5,22.5,22.5,22.5,22.5,73.0,73.0,0.0,73.0,73.0,73.0,73.0,73.0,73.0,66.0,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,6.07,6.07,0.0,6.07,6.07,6.07,6.07,6.07,6.07,33.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,30.623529411764704,30.6,0.05509350340690798,30.5,30.7,30.6,30.7,30.5,30.7,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-29 12:43:22+00:00,2025-06-29 13:28:20+00:00,12V Management  Discharge and Charge Cycle 2025-06-29_08-10-35_IBS_only.csv,12V Management  Discharge and Charge Cycle 2025-06-29_08-10-35_IBS_only.csv#1,1,2698.0,14.113,14.068881808077064,14.103272222222222,0.0,11.256311967395332,-15.241,5850.0,7500.0,1650.0,0.0,8.44158611111111,7.414586388888888,-0.06590207836059846,0.8290539813641832,14.068625416821046,14.086,0.051435509854408756,12.912,14.114,14.0,14.109,13.778,12.912,11.256311967395332,7.856,8.890153108874467,-15.241,50.086,2.3888000000000003,25.741800000000005,50.086,-15.241,23.767321230085216,24.0,0.3980017416983601,22.5,24.0,23.0,24.0,22.5,24.0,70.48443868099297,72.5,4.7314597170785655,58.5,75.0,62.5,75.0,58.5,75.0,65.58799555390885,66.0,1.0652978674111953,64.0,68.0,64.0,66.0,66.0,68.0,6.07,6.07,0.0,6.07,6.07,6.07,6.07,6.07,6.07,32.79399777695443,33.0,0.5326489337055976,32.0,34.0,32.0,33.0,33.0,34.0,29.019007039644308,30.1,2.1120883796667793,23.4,31.0,25.3,30.7,23.4,30.7,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 12:34:25+00:00,2025-08-10 12:49:45+00:00,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv#0,0,920.0,14.118,14.102929424538546,14.109177777777777,0.0,3.874482084690554,-15.488,9600.0,9800.0,200.0,0.0,0.9929194444444445,,-0.05935063423716976,0.9781517549198621,14.10199022801303,14.113,0.055339710877964035,13.004,14.118,14.081,14.116,13.861,13.004,3.874482084690554,2.206,5.0137582118080015,-15.488,49.53,1.852,7.908,49.53,-15.488,37.0,37.0,0.0,37.0,37.0,37.0,37.0,37.0,37.0,97.10043431053204,97.0,0.4195751296611889,96.0,98.0,96.5,97.5,96.0,98.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.140000000000001,6.14,8.886609942642282e-16,6.14,6.14,6.14,6.14,6.14,6.14,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,48.66026058631922,48.7,0.2128623188908,48.0,49.0,48.4,48.9,48.0,49.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 14:28:13+00:00,2025-08-10 15:05:03+00:00,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv#1,1,2210.0,14.111,14.027578018995928,14.094683333333332,0.0,17.641738127544098,-15.249,7600.0,9750.0,2150.0,0.0,10.840969722222223,11.104834444444442,-0.05839395397548764,0.9781517549198621,14.02738670284939,14.053,0.0880941710468238,12.996,14.112,13.899,14.104,13.59,12.996,17.641738127544098,12.499,14.718002303999413,-15.249,51.634,3.214,43.486,51.634,-15.249,35.79556761646314,36.0,0.43521283223265866,34.5,36.5,35.0,36.0,34.5,36.0,91.56558118498417,94.0,5.908100533437324,76.0,97.5,82.0,97.0,76.0,97.5,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.14,6.14,0.0,6.14,6.14,6.14,6.14,6.14,6.14,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.88276797829037,47.0,2.9529533847142613,38.1,48.8,41.0,48.7,38.1,48.8,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 15:56:08+00:00,2025-08-10 16:34:18+00:00,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv#2,2,2290.0,14.108,14.027769969445657,14.09463333333333,0.0,17.149357049323438,-15.55,7600.0,9750.0,2150.0,0.0,10.919190277777778,10.822840138888887,-0.055199688074416615,0.9781517549198621,14.027600174596245,14.067,0.09368842667344737,13.01,14.109,13.89,14.104,13.551,13.01,17.149357049323438,11.11,15.19803381390845,-15.55,52.39,3.051,44.309,52.39,-15.261,36.68834570056744,37.0,0.4967047879553759,35.0,37.0,36.0,37.0,35.0,37.0,91.79288520296814,94.0,5.891855603966795,76.0,97.5,82.0,97.0,76.0,97.5,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.139999999999999,6.14,8.883723239529976e-16,6.14,6.14,6.14,6.14,6.14,6.14,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.99637712789175,47.2,2.9456399524259864,38.0,48.9,41.1,48.7,38.0,48.9,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 17:25:05+00:00,2025-08-10 18:04:01+00:00,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv#3,3,2336.0,14.108,14.026651690201112,14.095422222222219,0.0,16.91905562687206,-15.391,7550.0,9700.0,2150.0,0.0,10.98888152777778,10.813699027777778,-0.05306466620144217,0.9781517549198621,14.026456568249893,14.069,0.09830420844489987,13.01,14.109,13.882,14.105,13.48,13.01,16.91905562687206,10.281,15.443984820021292,-15.391,51.28,2.972,44.94000000000001,49.063,-15.356,37.53102267864784,37.5,0.5450590861987236,36.0,38.0,36.5,38.0,36.0,37.5,91.47967479674797,94.0,5.905081271727293,75.5,97.0,81.5,97.0,75.5,97.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.140000000000001,6.14,8.883685060414563e-16,6.14,6.14,6.14,6.14,6.14,6.14,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.83705605477108,47.1,2.9499993430502536,37.8,48.7,40.9,48.5,37.8,48.7,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 18:54:44+00:00,2025-08-10 19:34:17+00:00,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv#4,4,2373.0,14.109,14.025287700084244,14.094683333333334,0.0,16.783505054759896,-15.42,7500.0,9700.0,2200.0,0.0,11.07361375,10.835473888888888,-0.05504953887445396,0.9781517549198621,14.025099831508003,14.07,0.10320797421622692,12.995,14.11,13.88,14.105,13.473,12.995,16.783505054759896,9.6865,15.659972105858762,-15.42,51.385,2.9139,45.796600000000005,48.949,-15.42,38.658803706823925,39.0,0.5483880537077559,37.0,39.0,37.5,39.0,37.0,39.0,91.44587194608256,94.0,5.9350429081485245,75.0,97.0,81.5,96.5,75.0,97.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.140000000000001,6.14,8.883655425126301e-16,6.14,6.14,6.14,6.14,6.14,6.14,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.81996630160068,47.1,2.96353691242615,37.6,48.6,40.8,48.4,37.6,48.6,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 20:25:25+00:00,2025-08-10 21:05:33+00:00,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv,12V_IBS_Charge_Discharge_after_IBS_Reset_00003_cleaned.csv#5,5,2408.0,14.109,14.024025736820256,14.096305555555556,0.0,16.7949099211291,-15.424,7400.0,9650.0,2250.0,0.0,11.243949722222224,10.965462777777777,-0.05473648049010914,0.9781517549198621,14.023834786218346,14.073,0.10816914173937241,12.997,14.111,13.875,14.106,13.517,12.997,16.7949099211291,9.326,15.877778285955046,-15.424,52.058,2.8818,46.79760000000001,52.058,-15.387,39.72249896222499,40.0,0.49926879933537444,38.0,40.0,39.0,40.0,38.0,40.0,90.80676629306767,93.5,6.017012830377144,74.0,96.5,80.5,96.0,74.0,96.5,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.14,6.14,0.0,6.14,6.14,6.14,6.14,6.14,6.14,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,45.504732254047326,46.8,3.0079315176839305,37.2,48.3,40.4,48.1,37.2,48.3,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-16 03:47:57+00:00,2025-08-16 04:25:46+00:00,12V_IBS_Charge_Discharge_after_IBS_00007_IBS_only.csv,12V_IBS_Charge_Discharge_after_IBS_00007_IBS_only.csv#0,0,2269.0,14.108,14.054929515418502,14.095638888888887,0.0,11.86109295154185,-16.783,6350.0,7800.0,1450.0,0.0,7.484640277777778,,-0.05487861023295786,0.9382974170392487,14.054653303964757,14.086,0.07000670543411058,12.879,14.108,13.948,14.105,13.692,12.879,11.86109295154185,5.862,11.972413139696025,-16.783,49.956,2.1939,32.683,49.956,-16.395,29.901982378854626,30.0,0.24431940103112768,29.0,30.0,29.5,30.0,29.0,30.0,74.61343612334802,76.0,3.8656959528333656,63.5,78.0,68.0,78.0,63.5,78.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.14,6.14,0.0,6.14,6.14,6.14,6.14,6.14,6.14,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,37.40770925110132,38.2,1.9340623615086394,31.8,39.2,34.2,39.1,31.8,39.2,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-16 04:57:13+00:00,2025-08-16 05:34:18+00:00,12V_IBS_Charge_Discharge_after_IBS_00007_IBS_only.csv,12V_IBS_Charge_Discharge_after_IBS_00007_IBS_only.csv#1,1,2225.0,14.108,14.053706648697215,14.09897222222222,0.0,12.177623090745733,-16.793,6400.0,7900.0,1500.0,0.0,7.53194111111111,7.2180598611111115,-0.05753746067295903,0.9382974170392487,14.053505840071878,14.086500000000001,0.0720724180878115,12.921,14.109,13.946,14.105,13.474,12.921,12.177623090745733,5.865,12.528062459965504,-16.793,51.292,2.18,33.646,51.292,-16.452,30.653189577717878,30.5,0.33369726844174874,29.5,31.0,30.0,31.0,29.5,30.5,75.30300988319856,77.0,3.873933043905938,64.0,79.0,69.0,78.5,64.0,79.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,6.149874213836477,6.15,0.001114718662387981,6.14,6.15,6.15,6.15,6.14,6.15,45.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0,45.0,37.74860736747529,38.6,1.931703641498717,32.1,39.5,34.5,39.4,32.1,39.5,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
